borough,complaint,date,crew,hours,lat,lon,reopened
Staten Is.,Parking,2024-10-16,1,49.8,40.5761,-74.1469,False
Queens,Noise,2024-11-22,3,3.4,40.7107,-73.7198,False
Queens,Noise,2024-08-19,5,4.4,40.6782,-73.7697,False
Staten Is.,Water,2024-05-09,4,3.7,40.5627,-74.1294,False
Manhattan,Street,2024-01-01,1,24.9,40.8231,-74.0169,False
Queens,Parking,2024-02-08,5,8.7,40.7298,-73.7925,False
Staten Is.,Street,2024-04-24,2,2.1,40.602,-74.1873,False
Brooklyn,Parking,2024-08-14,4,9.3,40.6712,-73.9286,False
Bronx,Parking,2024-08-28,4,10.1,40.8497,-73.8786,True
Brooklyn,Street,2024-02-16,4,2.1,40.6439,-73.9506,False
Brooklyn,Street,2024-04-04,3,2.5,40.6536,-73.9544,True
Staten Is.,Water,2024-11-21,3,13.5,40.6001,-74.1693,False
Staten Is.,Noise,2024-04-16,1,15.6,40.5937,-74.1974,False
Bronx,Heat,2024-02-14,3,5.0,40.8648,-73.8544,False
Manhattan,Heat,2024-03-30,2,0.7,40.7846,-74.0133,False
Staten Is.,Parking,2024-05-12,2,3.4,40.5569,-74.1872,False
Bronx,Noise,2024-06-30,1,32.4,40.8422,-73.8807,False
Queens,Heat,2024-06-29,4,1.1,40.6918,-73.813,False
Bronx,Heat,2024-02-08,5,1.9,40.8801,-73.8639,False
Manhattan,Heat,2024-02-13,2,11.6,40.7169,-73.9415,False
Staten Is.,Noise,2024-03-16,3,4.6,40.5735,-74.1443,False
Brooklyn,Street,2024-04-26,3,3.5,40.7216,-73.9459,False
Brooklyn,Parking,2024-12-18,1,10.4,40.6398,-73.9511,False
Brooklyn,Parking,2024-04-10,4,16.5,40.616,-73.926,False
Queens,Parking,2024-05-09,5,4.3,40.7195,-73.8471,False
Brooklyn,Street,2024-09-17,3,5.4,40.6887,-73.9408,True
Staten Is.,Noise,2024-05-03,1,26.1,40.5752,-74.1798,False
Manhattan,Water,2024-12-25,2,16.8,40.7984,-74.0088,False
Manhattan,Street,2024-06-26,1,43.1,40.783,-73.9716,False
Manhattan,Heat,2024-05-12,5,2.5,40.7688,-73.9834,True
Manhattan,Street,2024-10-08,5,4.6,40.8745,-73.9543,True
Manhattan,Heat,2024-10-15,2,4.2,40.7821,-73.9387,False
Manhattan,Noise,2024-08-29,2,1.1,40.7639,-74.0415,False
Staten Is.,Parking,2024-02-21,5,2.9,40.5653,-74.1539,True
Staten Is.,Noise,2024-04-17,1,25.1,40.5914,-74.093,True
Queens,Parking,2024-07-30,4,7.6,40.7323,-73.7657,False
Queens,Parking,2024-05-14,5,2.3,40.7432,-73.7484,False
Queens,Noise,2024-06-06,3,2.2,40.7242,-73.7887,True
Brooklyn,Parking,2024-04-13,4,2.1,40.6071,-73.9948,True
Staten Is.,Parking,2024-04-15,4,10.3,40.596,-74.1855,False
Manhattan,Parking,2024-06-25,5,11.0,40.7707,-73.9504,True
Brooklyn,Water,2024-10-26,1,7.5,40.6414,-73.923,True
Staten Is.,Parking,2024-05-13,4,6.3,40.5355,-74.1737,True
Bronx,Noise,2024-09-29,2,10.1,40.8328,-73.8798,False
Staten Is.,Noise,2024-12-24,5,7.2,40.5582,-74.1439,False
Queens,Water,2024-02-18,5,5.8,40.7189,-73.8443,False
Bronx,Noise,2024-12-03,2,11.9,40.8064,-73.8823,False
Bronx,Heat,2024-04-16,3,13.2,40.8515,-73.8232,False
Manhattan,Street,2024-02-05,3,20.2,40.7837,-73.9062,False
Bronx,Water,2024-10-26,3,1.4,40.8164,-73.875,True
Bronx,Parking,2024-01-03,5,7.9,40.8313,-73.8168,False
Manhattan,Heat,2024-12-28,4,4.1,40.7543,-73.9875,False
Staten Is.,Noise,2024-03-16,4,3.9,40.6072,-74.1761,False
Manhattan,Street,2024-08-11,4,2.7,40.7042,-74.0389,False
Staten Is.,Street,2024-04-01,2,37.7,40.5697,-74.1231,False
Staten Is.,Water,2024-11-14,3,12.8,40.5302,-74.163,False
Staten Is.,Street,2024-09-14,2,13.0,40.567,-74.0816,False
Queens,Parking,2024-12-25,3,21.0,40.7454,-73.7818,False
Manhattan,Parking,2024-10-15,1,30.9,40.7611,-73.9661,False
Manhattan,Parking,2024-09-27,1,8.0,40.7842,-74.0259,False
Brooklyn,Parking,2024-12-10,2,8.1,40.6247,-73.9067,False
Manhattan,Noise,2024-08-23,2,15.4,40.8382,-73.9826,False
Brooklyn,Street,2024-03-18,4,3.5,40.6774,-73.9566,True
Brooklyn,Noise,2024-03-21,2,26.4,40.6838,-74.0179,False
Staten Is.,Parking,2024-08-27,2,20.1,40.5402,-74.1239,False
Bronx,Parking,2024-05-15,3,4.3,40.817,-73.8421,False
Bronx,Water,2024-10-03,3,5.5,40.8824,-73.8899,True
